MES,XV,I,II,III,IV,V,RM,VI,VII,VIII,IX,XIV,X,XI,XII
JULIO,0.0,0.0,0.0,0.0,0.0,67.9,0.5,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGOSTO,0.0,0.0,0.0,0.0,0.0,85.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEPTIEMBRE,0.0,0.0,0.0,1.3,0.0,853.3,0.3,0.1,6.4,0.1,0.4,0.0,0.3,0.0,0.0
OCTUBRE,0.0,0.0,0.0,0.0,10.5,8.2,281.1,1.9,4.7,33.3,15.0,0.0,0.0,28.2,0.0
NOVIEMBRE,0.08,0.0,0.0,5.2,241.7,313.1,1180.4,112.9,54.4,143.3,74.4,5.7,171.1,7.0,0.3
DICIEMBRE,2.5,0.0,0.0,7.0,109.3,1059.0,1817.2,928.3,312.9,556.9,196.3,5.2,32.3,9.2,0.1
ENERO,0.0,0.0,0.0,20.0,67.4,966.0,1314.5,316.3,745.5,2246.8,7315.0,354.4,363.0,5.0,101.0
FEBRERO,0.75,0.0,0.0,22.6,646.6,1331.7,491.8,198.9,882.7,1892.5,4696.5,38.1,41.4,3.0,0.0
MARZO,0.0,0.0,0.0,0.6,37.8,847.0,547.4,581.5,613.9,1771.4,1547.2,24.4,23.3,2.4,0.0
ABRIL,0.0,0.0,0.0,5.0,1.7,106.6,21.8,65.0,103.0,84.0,31.7,5.2,0.3,0.3,0.0
MAYO,0.0,0.0,0.0,0.0,0.0,39.1,85.7,21.6,84.3,0.1,0.0,0.0,0.0,0.0,0.0
JUNIO,0.0,1.0,0.0,0.0,1.5,39.2,13.1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
