MES,XV,I,II,III,IV,V,RM,VI,VII,XVI,VIII,IX,XIV,X,XI,XII
JULIO,0.0,1.0,0.0,0.0,0.0,12.6,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
AGOSTO,2.0,0.0,0.0,27.0,7.3,2.5,24.6,3.5,1.5,0.0,0.0,0.8,0.0,0.0,26.2,0.0
SEPTIEMBRE,17.7,0.0,0.0,0.0,35.2,6.8,26.3,9.9,25.4,0.8,13.8,1.6,0.0,0.0,287.4,0.0
OCTUBRE,0.0,0.0,0.0,0.5,31.4,23.2,33.9,6.8,18.3,2.8,28.3,0.9,0.0,1.1,41.0,1.4
NOVIEMBRE,0.17,0.04,0.0,0.0,88.9,589.0,436.4,392.0,19.9,12.5,20.5,57.2,4.9,15.2,0.0,0.2
DICIEMBRE,0.0,0.0,0.0,1.5,8.3,299.7,951.3,184.4,193.4,42.4,374.8,302.7,2.7,22.9,0.1,5.0
ENERO,2.34,0.0,0.0,10.4,41.8,2933.2,446.0,1282.1,1104.6,805.2,1563.7,1308.0,8.9,18.0,1.2,48.4
FEBRERO,0.0,0.0,0.0,0.8,12.8,276.1,775.4,1515.1,3126.2,1017.4,7552.0,19290.3,424.1,1178.3,15356.8,0.4
MARZO,1.05,0.0,0.0,0.4,40.4,75.2,57.1,1672.4,2434.0,1253.0,479.9,6112.7,100.5,29.1,0.1,0.2
ABRIL,0.0,0.0,0.0,0.1,9.1,45.7,10.9,71.5,327.8,939.6,409.3,865.3,7.9,5.9,0.0,0.0
MAYO,0.0,0.0,0.0,0.1,0.0,113.8,22.1,7.9,46.5,3.2,35.4,2.2,0.0,0.0,0.0,0.0
JUNIO,1.5,0.0,0.0,12.0,0.0,19.6,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
