MES,III,IV,V,RM,VI,VII,VIII,IX,XIV,X,XI,XII,TOTAL
JULIO,0,0,1,1,0,0,0,0,0,0,0,0,2
AGOSTO,0,0,7,0,1,0,2,1,0,0,0,0,11
SEPTIEMBRE,0,0,25,0,0,0,3,0,0,1,1,0,30
OCTUBRE,0,0,53,12,8,20,77,19,1,1,2,0,193
NOVIEMBRE,0,3,82,61,14,42,292,61,5,9,0,1,570
DICIEMBRE,0,13,184,121,33,125,596,157,8,34,8,4,1283
ENERO,0,13,141,111,75,183,866,421,35,79,2,8,1934
FEBRERO,0,13,113,78,51,129,831,447,60,169,7,5,1903
MARZO,0,7,96,38,26,107,698,361,38,135,3,1,1510
ABRIL,0,3,57,13,12,71,261,28,2,5,1,0,453
MAYO,0,1,46,3,12,9,17,1,0,0,0,0,89
JUNIO,0,0,60,4,3,2,1,0,0,0,0,0,70
