MES,XV,I,II,III,IV,V,RM,VI,VII,VIII,IX,XIV,X,XI,XII,TOTAL
JULIO,0,0,0,2,0,1,1,0,0,0,0,0,0,2,0,6
AGOSTO,0,0,0,1,1,11,0,0,2,2,0,0,0,0,1,18
SEPTIEMBRE,0,0,0,2,3,28,4,1,21,40,19,5,3,9,5,140
OCTUBRE,0,0,0,2,8,71,37,7,15,37,11,3,2,4,5,202
NOVIEMBRE,0,0,0,1,17,210,93,41,69,194,50,13,7,2,5,702
DICIEMBRE,0,0,0,2,22,166,79,74,136,362,101,9,17,4,3,975
ENERO,1,0,0,1,23,179,80,63,200,720,222,23,21,0,5,1538
FEBRERO,0,0,0,0,10,109,44,32,74,238,150,21,20,0,3,701
MARZO,0,0,0,2,9,92,26,19,81,242,157,14,5,0,0,647
ABRIL,0,0,0,1,8,65,20,15,29,113,42,4,3,0,1,301
MAYO,0,0,0,0,0,26,3,1,3,2,1,0,0,0,0,36
JUNIO,0,0,0,0,0,3,1,2,1,1,0,0,0,0,0,8
