MES,XV,I,II,III,IV,V,RM,VI,VII,XVI,VIII,IX,XIV,X,XI,XII,TOTAL
JULIO,1,1,0,0,1,1,1,0,3,1,0,1,0,0,0,0,10
AGOSTO,3,2,2,1,7,14,10,2,5,1,0,1,0,0,1,1,50
SEPTIEMBRE,1,0,2,0,6,22,19,14,7,5,24,32,3,4,0,0,139
OCTUBRE,0,1,1,2,16,71,48,34,27,11,77,53,7,5,6,0,359
NOVIEMBRE,0,3,3,8,17,100,101,62,123,20,193,159,7,17,0,0,813
DICIEMBRE,2,0,2,6,9,99,82,81,233,59,488,193,12,20,2,1,1289
ENERO,0,0,0,4,12,87,46,73,242,102,604,319,27,37,3,2,1558
FEBRERO,0,0,1,3,8,73,44,55,207,107,566,390,33,37,1,1,1526
MARZO,0,0,0,5,7,62,29,34,150,88,479,431,26,28,3,2,1344
ABRIL,0,0,0,3,0,59,28,28,121,81,349,218,6,7,2,0,902
MAYO,1,0,0,0,2,34,7,19,37,7,10,3,0,0,0,0,120
JUNIO,0,0,0,0,0,7,1,0,6,0,0,2,0,0,1,0,17
