,,Nombre,Apiario,Colmena,Razon
,XV,Arica y Parinacota,20,111,5.55
,I,Tarapacá,37,283,7.65
,II,Antofagasta,41,245,5.98
,III,Atacama,203,2868,14.13
,IV,Coquimbo,977,46265,47.35
,V,Valparaiso,1588,126967,79.95
,RM,Metropolitana,1548,152507,98.52
,VI,OHiggins,2684,260733,97.14
,VII,Maule,3699,292853,79.17
,XVI,Ñuble,1477,97346,65.91
,VIII,Bio Bio,2129,98392,46.22
,IX,Araucania,2628,124945,47.54
,XIV,Los Rios,1085,62847,57.92
,X,Los Lagos,1851,135610,73.26
,XI,Aysén ,180,2233,12.41
,XII,Magallanes,3,9,3
